127.0.0.1 - - [02/Mar/2021:09:16:10 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:16:31 +0900] "GET /servletTest2/member/memberList.ddit HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:16:31 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:16:33 +0900] "GET /servletTest2/member/memberForm.ddit HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:16:33 +0900] "GET /servletTest2/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:16:44 +0900] "POST /servletTest2/member/memberIdCheck.ddit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:16:52 +0900] "POST /servletTest2/member/memberIdCheck.ddit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:17:12 +0900] "GET /servletTest2/member/memberForm.ddit HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:17:12 +0900] "GET /servletTest2/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:17:12 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [02/Mar/2021:09:17:18 +0900] "POST /servletTest2/member/memberIdCheck.ddit HTTP/1.1" 200 5
